,channelID,channelTitle,channelDescription,channelCommentCount,hiddenSubscriberCount,subscriberCount,videoCount,channelViewCount,uploads
11,UCfUGBBnxQYezwJM9wi3F-Lg,The Singletrack Sampler,"Hey! My name is Alex, and here on my channel I show you how I strive to live life FREE of constraints and full of BIKES! Come learn how I travel everywhere and ride my bikes anywhere!! My mission: inspire more people to get outside and enjoy an active lifestyle outdoors!

Things that you see:
1. Riding videos
2. Camp & road life videos
3. MTB skills videos
4. Motivation & inspiration to get outside!

Check out some of my videos, and if you like what you see, don't forget to SUBSCRIBE! 

Live free
Ride Hard
Get Stoked

CONTACT ME DIRECTLY: https://www.patreon.com/singletracksampler 
I get so many emails that unfortunately many of them end up in the garbage/spam, but on Patreon you are guaranteed a response!

google74d267c24ae5cd38.html",0,0,323593,282,29803819,UUfUGBBnxQYezwJM9wi3F-Lg
12,UCu3Wc2GlCpyxGmX7N0EO5NQ,SYD and MACKY,"Two pro mountain bike racers, living in a van and traveling the world to race the best races. Doing our best to #bemoreawesome 

On this channel we share the mountain bike race experience with you. You can expect a behind-the-scenes look at what it's really like to be professional mountain bike racers -- what it's like to live on the road, ride your bike for a living and travel the world in search of the best races -- as well lots of things you should (and shouldn't) do if you're interested in doing a mountain bike race. We share our great days, our gnarly crashes and just about everything in between. 📹 SUBSCRIBE for videos every Tuesday and Friday at 8PM EST taking you behind the scenes of racing bikes, training, traveling the world and living in a van. Oh, and eating burritos, of course.",0,0,37952,232,5591793,UUu3Wc2GlCpyxGmX7N0EO5NQ
13,UC0QuCui5pNF9k9fiNXkqn_w,Skills With Phil,"Skills with Phil is a Mountain bike YouTube dedicated to having fun on bikes. We explore everything from beginner mountain biking skills and to advanced mountain bike skills. My mission with Skills with Phil is to help you have more fun on your bike. Skills with Phil Mountain bike tutorials hosted by Phil Kmetz, a former Professional downhill mountain bike racer. 

EXPECT NEW VIDEOS EVERY MONDAY AROUND 9am Eastern Time.

Here's a general list of things you can expect from this channel:
Advanced Mountain bike Skills tutorials,
Beginner mountain bike skills tutorials
Mountain bike gear review
Common mountain biking problems
Mountain bike GoPro Tips
Mountain bike Race tips.",0,0,315891,160,33156894,UU0QuCui5pNF9k9fiNXkqn_w
14,UC6juisijUAHcJLt23nk-qOQ,GMBN Tech,"Brought to you by the world’s largest mountain bike channel, the Global Mountain Bike Network (GMBN), GMBN Tech goes deeper into the bikes, kit and technology stories that help fuel your rides.

Our mission is to help you discover, dial-in and get the best from the latest cutting edge bikes and technology available. 

With news and rumours, first ride exclusives, how-tos, the weekly GMBN Tech Show wrapping up and showcasing the week’s biggest tech stories, and more besides, if it’s off-road tech, it’s in. 

Every week, of every month we seek out, showcase, and ride the newest gear and innovations from across the globe in an authoritative, inspiring and entertaining way to help you get the best from your rides. And when we’re not riding, we get geeky in an accessible, easy-to-understand way about forks. And shocks. And more to help you setup and maintain your bikes perfectly.

Engage with us every week on the channel and across social media – we’re here to answer your questions.",0,0,167064,340,19729095,UU6juisijUAHcJLt23nk-qOQ
15,UCywMHpWJsb9GXD0lakYf6WA,Nate Hills,"Watch new episodes every Friday at 10:00am MST. 

Nate Hills is a professional mountain bike racer and creates this Youtube content for fun. Nate started Follow Cam Friday to get people stoked, and motivate them to ride. These videos are for personal use only, and are not sponsored by, paid for, or commercial endeavors. Go ride your bike!",0,0,169312,220,21519859,UUywMHpWJsb9GXD0lakYf6WA
16,UCHOtaAJCOBDUWIcL4372D9A,Fabio Wibmer,"I'm Fabio Wibmer, 23 year old Street Trials and MTB Pro Rider from Austria. 
Subscribe to join my adventure ;)",0,0,2749053,243,369540428,UUHOtaAJCOBDUWIcL4372D9A
17,UCHMfbHsJZCqRtSCVLV-RnYA,Daily MTB Rider,"I'm all about getting people stoked on riding their mountain bike! My channel is all about making videos that help you get out there in ride. I do bike reviews, how to's, POV ride footage, and garage talks where I talk about bikes and components. Stop by weekly for new videos and don't forget; Ride Your Bike, Every Day.

Buy a Daily MTB Rider Sticker Pack Here - http://bit.ly/DailyMTBRiderStickers 
Instagram: @DailyMTBRider
Sponsors: NS Bikes - FSA Components",0,0,79758,145,8039628,UUHMfbHsJZCqRtSCVLV-RnYA
18,UCEbwPic2U3uIUKUGjkOr0rA,The Lost Co.,"Mountain biking is a way of life. We feature MTB product reviews, riding videos, bike mechanic tips and bike shop vlogs.

The Lost Co. is a rider owned, rider operated bike shop in Bellingham, WA. When we are not riding the best trails of the PNW, we are working on bikes, filming video and living in vans.

Head over to www.thelostco.com to pick up the best mountain bike components and gear on the market!

Need help with a custom build? Email us anytime at info@thelostco.com",0,0,46730,38,3850467,UUEbwPic2U3uIUKUGjkOr0rA
19,UCEP-XJQ983V8_3XpKU_-pRQ,Jeff Lenosky,"Trail Boss is a video series produced by Jeff Lenosky and documents his attempts to ride some of the most technical trails he can find.  A veteran rider with a 20-year professional career and three Observed Trials U.S. National Championships to his name, Lenosky uses his skills to ride the unrideable.

Look for Jeff to take on a new challenge every six weeks  and encourage fellow riders to focus on tech riding as well.   When you ride an entire trail you may feel like a Boss, but without the proper skills",0,0,40315,185,3440607,UUEP-XJQ983V8_3XpKU_-pRQ
20,UCQ89juNqvb6MW1OS2FkI_kg,Clint Gibbs,,0,0,83141,601,24025314,UUQ89juNqvb6MW1OS2FkI_kg
21,UC_mxl2kDiu-Ls_m7dR5qjtw,KevCentral,"This channel is for people who have fun on bicycles. On KevCentral you will find bicycle reviews ranging from Walmart / Big Box Bikes to more expensive bicycles purchased at a local bike shop. Along with bike reviews there are how-to and tutorial videos, discussions on MTB trails and mountain bikes, bicycle commuting, and even a few generators and water filtration videos. Anything that keeps us in the ride, independent, and happy!

What you'll find here:
Mountain bikes for beginners and experienced riders
Cruiser bikes for fun
Commuter bikes for cycling to work or running errands
Vintage bikes for those that like a bicycle history
Bicycle maintenance and repair
Generator reviews and maintenance
Healthy living - Proper hydration and water filtering
Lots of fun and interaction

NEW VIDEOS EACH SUNDAY and a Community Posting or additional video each WEDNESDAY.

Mailing address:
KevCentral
P.O. Box 3484
Florence, AL 35630",0,0,59781,323,15440311,UU_mxl2kDiu-Ls_m7dR5qjtw
